timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase,Classe_Prevista
1774391051838,-0.00887279,0.979979,0.128831,-9.766600000000001e-12,-1.08659e-10,7.903330000000003e-11,0,0,3.24436,5,1.92,2,2.0
1774391051852,-0.00948839,0.979808,0.129144,-9.004680000000002e-12,-1.11899e-10,7.71693e-11,0,0,3.2907,5,1.934,2,2.0
1774391051865,-0.00881719,0.97941,0.129433,-1.3766300000000001e-11,-1.11916e-10,7.742230000000001e-11,0,0,3.29034,5,1.947,2,2.0
1774391051879,-0.00927507,0.979958,0.129068,-1.6762100000000003e-11,-1.1026300000000002e-10,8.023020000000002e-11,0,0,3.24281,5,1.961,2,2.0
1774391051892,-0.00975563,0.979874,0.128356,-1.9461500000000003e-11,-1.1191400000000001e-10,7.77852e-11,0,0,3.27986,5,1.974,2,2.0
1774391051905,-0.0100764,0.980209,0.128017,-2.3379600000000006e-11,-1.148e-10,8.17716e-11,0,0,3.25623,5,1.987,2,2.0
1774391051919,-0.00958232,0.980231,0.128077,-2.7891500000000007e-11,-1.17095e-10,8.279410000000001e-11,0,0,3.27525,5,2.001,2,2.0
1774391051932,-0.00998538,0.980135,0.127921,-2.93243e-11,-1.1879100000000002e-10,8.465840000000001e-11,0,0,3.2502,5,2.014,2,2.0
1774391051945,-0.0102213,0.980107,0.127537,-3.10193e-11,-1.1803700000000001e-10,8.406310000000001e-11,0,0,3.27997,5,2.027,2,2.0
1774391051959,-0.0105004,0.980315,0.127843,-3.02642e-11,-1.16169e-10,8.37153e-11,0,0,3.26701,5,2.041,2,2.0
1774391051972,-0.0101159,0.980738,0.127857,-2.6811000000000008e-11,-1.1453400000000003e-10,8.42006e-11,0,0,3.26755,5,2.054,2,2.0
1774391051986,-0.0103248,0.980705,0.127946,-2.1667600000000005e-11,-1.1196300000000002e-10,8.512960000000002e-11,0,0,3.2656,5,2.068,2,2.0
1774391051999,-0.0105459,0.980748,0.128319,-1.5613700000000002e-11,-1.0855200000000002e-10,8.459360000000001e-11,0,0,3.27292,5,2.081,2,2.0
1774391052012,-0.0108214,0.98064,0.12875,-8.100980000000002e-12,-1.05588e-10,8.17753e-11,0,0,3.28073,5,2.094,2,2.0
1774391052026,-0.0108927,0.980344,0.128981,-9.668670000000002e-13,-1.0223500000000002e-10,8.087080000000001e-11,0,0,3.27236,5,2.108,2,2.0
1774391052039,-0.0109181,0.980371,0.129256,6.109620000000001e-12,-1.0039700000000001e-10,7.85611e-11,0,0,3.26751,5,2.121,2,2.0
1774391052053,-0.0108464,0.980279,0.129667,1.29605e-11,-9.587850000000002e-11,7.62525e-11,0,0,3.26612,5,2.135,2,2.0
1774391052066,-0.0109059,0.980255,0.129645,2.02834e-11,-9.16565e-11,7.300300000000002e-11,0,0,3.27647,5,2.148,2,2.0
1774391052079,-0.0114219,0.980361,0.129581,2.7666500000000002e-11,-8.64297e-11,7.104900000000001e-11,0,0,3.27757,5,2.161,2,2.0
1774391052093,-0.0111466,0.98028,0.129594,3.4721200000000005e-11,-8.20954e-11,6.817700000000002e-11,0,0,3.2506,5,2.175,2,2.0
1774391052106,-0.0113958,0.980288,0.129254,4.2621899999999996e-11,-7.813280000000001e-11,6.5723e-11,0,0,3.26557,5,2.188,2,2.0
1774391052119,-0.0113566,0.980328,0.129378,5.3205200000000004e-11,-7.29366e-11,6.3321e-11,0,0,3.24933,5,2.201,3,3.0
1774391052133,-0.0113511,0.980516,0.129047,6.473630000000001e-11,-7.128610000000002e-11,6.041140000000001e-11,0,0,3.32801,5,2.215,3,3.0
1774391052146,-0.0110789,0.980685,0.129095,7.733330000000001e-11,-6.938560000000002e-11,5.7194100000000006e-11,0,0,3.29266,5,2.228,3,3.0
1774391052160,-0.0109574,0.980739,0.129054,8.87956e-11,-6.72491e-11,5.509920000000001e-11,0,0,3.27412,5,2.242,3,3.0
1774391052173,-0.0113964,0.98155,0.12908,1.0149900000000002e-10,-6.322000000000002e-11,5.2693700000000004e-11,0,0,3.27038,5,2.255,3,3.0
1774391052186,-0.0116347,0.983467,0.129371,1.2779100000000001e-10,-5.6548100000000016e-11,4.823930000000001e-11,0,0,3.24921,5,2.268,3,3.0
1774391052200,-0.0126634,0.984478,0.1295,1.7264800000000003e-10,-4.58401e-11,4.18938e-11,0,0,3.2651,5,2.282,3,3.0
1774391052213,-0.0126968,0.986673,0.129453,2.4252e-10,-3.2435700000000006e-11,4.01862e-11,0,0,3.25029,5,2.295,3,3.0
