timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase
1774299884542,-0.0575523,0.891463,0.198744,-0.28714300000000004,0.328671,-0.0580631,3.30912,5,10.046,5
1774299884555,-0.0541599,0.90505,0.194985,-0.38690399999999997,0.299758,-0.0292992,3.30849,5,10.059,5
1774299884568,-0.0483854,0.924823,0.191241,-0.477202,0.26728,0.00126401,3.26578,5,10.072,5
1774299884582,-0.0407068,0.945877,0.18607,-0.5589500000000001,0.23214200000000002,0.041228499999999994,3.3647,5,10.086,5
1774299884595,-0.0337803,0.969576,0.17962,-0.633287,0.197861,0.08459910000000001,3.25624,5,10.099,5
1774299884609,-0.0300929,0.994812,0.172085,-0.6954680000000001,0.168415,0.121187,3.30108,5,10.113,5
1774299884622,-0.0317984,1.01687,0.162776,-0.748196,0.148422,0.150177,3.29514,5,10.126,5
1774299884635,-0.0318278,1.0408,0.153245,-0.792632,0.141321,0.172411,3.27217,5,10.139,5
1774299884649,-0.0201007,1.06572,0.143308,-0.8244480000000001,0.13958600000000002,0.18807200000000002,3.28132,5,10.153,5
1774299884662,-0.00554452,1.07837,0.127944,-0.851264,0.131709,0.20234000000000002,3.2988,5,10.166,5
1774299884676,0.00414701,1.09418,0.112259,-0.881355,0.115967,0.20797200000000002,3.31327,5,10.18,5
1774299884689,0.00890905,1.11444,0.0954127,-0.900684,0.101001,0.206908,3.31321,5,10.193,5
1774299884703,0.0128863,1.13745,0.0771893,-0.90566,0.0855945,0.214399,3.61921,5,10.207,5
1774299884716,0.0218892,1.15408,0.0555882,-0.893816,0.0626468,0.228047,3.28221,5,10.22,5
1774299884730,0.0275303,1.14288,0.0260379,-0.892437,0.0274299,0.24039000000000002,3.28019,5,10.234,1
1774299884743,0.0228883,1.14342,0.0041326,-0.9084260000000001,-0.00965677,0.239362,3.2868,5,10.247,1
1774299884757,0.0162179,1.15811,-0.0144231,-0.907585,-0.0398203,0.230247,3.33268,5,10.261,1
1774299884770,0.016822,1.16684,-0.0376551,-0.8889230000000001,-0.0686003,0.234451,3.33247,5,10.274,1
1774299884784,0.018243,1.16577,-0.0623376,-0.8670690000000001,-0.100981,0.24719300000000002,3.32032,5,10.288,1
1774299884798,0.0138471,1.16516,-0.0827055,-0.8430150000000001,-0.131507,0.250579,3.89807,5,10.302,1
1774299884811,0.0108926,1.16512,-0.101681,-0.811721,-0.156078,0.24522400000000003,3.27388,5,10.315,1
1774299884824,0.0130641,1.16504,-0.119549,-0.772467,-0.18240800000000001,0.242653,3.27076,5,10.328,1
1774299884838,0.0170198,1.15806,-0.135792,-0.731561,-0.21509799999999998,0.243613,3.29138,5,10.342,1
1774299884851,0.0138091,1.15184,-0.144566,-0.693806,-0.249782,0.24136800000000003,3.28399,5,10.355,1
1774299884865,0.00604101,1.14947,-0.146422,-0.650778,-0.280213,0.23757000000000003,3.29893,5,10.369,1
1774299884878,0.0026912,1.14524,-0.146201,-0.602439,-0.307425,0.240079,3.27621,5,10.382,1
1774299884892,0.000790466,1.14138,-0.143106,-0.552808,-0.336164,0.246608,3.99237,5,10.396,1
1774299884906,-0.000279761,1.13394,-0.138567,-0.5028779999999999,-0.36430500000000005,0.247642,3.31065,5,10.41,1
1774299884919,-0.00310758,1.12991,-0.132742,-0.45144599999999996,-0.388894,0.24375,3.2768,5,10.423,1
1774299884932,-0.00375109,1.12167,-0.126584,-0.399931,-0.411975,0.24055,3.29845,5,10.436,1
1774299884946,-0.0105911,1.10815,-0.1165,-0.358945,-0.42772,0.23638800000000001,3.28145,5,10.45,1
1774299884959,-0.0107792,1.10331,-0.0959772,-0.32366100000000003,-0.430332,0.22321400000000002,3.28808,5,10.463,1
1774299884973,0.00351877,1.10679,-0.0590446,-0.281147,-0.42542800000000003,0.209049,3.27791,5,10.477,1
1774299884987,0.0170527,1.1071,-0.0237804,-0.23656,-0.415754,0.214031,3.94451,5,10.491,1
1774299885000,0.0201079,1.11543,-0.00223016,-0.186535,-0.391342,0.221846,3.27976,5,10.504,1
1774299885014,0.0183957,1.11742,0.00968669,-0.131827,-0.351719,0.22389199999999998,3.26089,5,10.518,1
1774299885027,0.0177621,1.11326,0.0174736,-0.08862360000000001,-0.310251,0.22500900000000001,3.31756,5,10.531,1
1774299885040,0.0151061,1.11082,0.025016,-0.0520994,-0.27237700000000004,0.228972,3.27028,5,10.544,1
1774299885054,0.0102922,1.10657,0.031524,-0.022753600000000002,-0.23944,0.230665,3.2874,5,10.558,1
1774299885067,0.00710881,1.10421,0.0409077,0.0031861899999999998,-0.213451,0.228328,3.26123,5,10.571,1
1774299885081,0.00105376,1.10059,0.0499344,0.0297905,-0.195432,0.22703900000000002,3.28119,5,10.585,1
1774299885094,-0.0077367,1.09244,0.055438,0.0541961,-0.181862,0.22263200000000002,3.28775,5,10.598,1
1774299885107,-0.0189507,1.08327,0.059804,0.07382,-0.169426,0.20996900000000002,3.29812,5,10.611,1
1774299885121,-0.030315,1.07362,0.0671608,0.0899282,-0.154206,0.191948,3.28506,5,10.625,1
1774299885134,-0.0379685,1.06993,0.0714093,0.106297,-0.135575,0.170768,3.26247,5,10.638,1
1774299885147,-0.0388598,1.06025,0.0758243,0.118687,-0.118679,0.14878,3.27969,3,10.651,1
1774299885161,-0.0385377,1.05635,0.0772168,0.128117,-0.1033,0.130762,3.26008,3,10.665,1
1774299885174,-0.0342792,1.04338,0.0833957,0.135557,-0.09024760000000001,0.11473900000000001,3.28645,3,10.678,2
1774299885188,-0.0326627,1.04364,0.082247,0.144593,-0.0783173,0.103717,3.28084,3,10.692,2
1774299885202,-0.0274119,1.04116,0.0838925,0.149794,-0.07081140000000001,0.0958358,4.30152,3,10.706,2
