timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase
1774300228433,-0.00150455,0.880279,-0.404458,-1.09398,0.544326,-0.0920807,0,0,3.28064,5,39.66,5
1774300228447,0.0259902,0.906441,-0.411284,-1.09766,0.499779,-0.0730553,0,0,3.28895,5,39.674,5
1774300228460,0.0435381,0.927733,-0.415708,-1.09793,0.444033,-0.048978200000000006,0,0,3.28095,1,39.687,5
1774300228474,0.0555247,0.949695,-0.418348,-1.09407,0.38228900000000005,-0.025720800000000002,0,0,3.59142,1,39.701,5
1774300228487,0.0630046,0.967323,-0.418022,-1.08639,0.31831,-0.00669673,0,0,3.28145,1,39.714,5
1774300228500,0.064456,0.983294,-0.415201,-1.07535,0.255735,0.0103439,0,0,3.27534,1,39.727,5
1774300228514,0.0630679,0.993944,-0.408659,-1.06346,0.19603700000000002,0.0264587,0,0,3.27819,1,39.741,5
1774300228527,0.058879,1.00027,-0.400215,-1.05087,0.140672,0.0402223,0,0,3.28443,2,39.754,5
1774300228541,0.0517878,1.00681,-0.390016,-1.03647,0.0909175,0.0527043,0,0,3.2778,2,39.768,1
1774300228554,0.0437895,1.00829,-0.379088,-1.02327,0.0480517,0.0637154,0,0,3.29102,2,39.781,1
1774300228567,0.0362477,1.00835,-0.366919,-1.01246,0.011551,0.0719123,0,0,3.28495,2,39.794,1
1774300228581,0.029228,1.0069,-0.354781,-1.0053,-0.019228400000000003,0.0771788,0,0,3.34276,2,39.808,1
1774300228594,0.0226327,1.00661,-0.342586,-1.00048,-0.044667399999999996,0.0798976,0,0,3.28086,2,39.821,1
1774300228608,0.0164539,1.00857,-0.330785,-0.996071,-0.0655366,0.0806655,0,0,3.27338,5,39.835,1
1774300228621,0.0104066,1.01219,-0.319586,-0.9899840000000001,-0.08299569999999999,0.0797118,0,0,3.28101,5,39.848,1
1774300228634,0.00483726,1.01779,-0.309176,-0.980012,-0.0973646,0.0771803,0,0,3.27421,5,39.861,1
1774300228648,-0.000787469,1.02626,-0.300662,-0.964314,-0.109228,0.0733092,0,0,3.30206,5,39.875,1
1774300228661,-0.00620892,1.03166,-0.294368,-0.94396,-0.118828,0.0665809,0,0,3.27604,5,39.888,1
1774300228674,-0.0110623,1.03235,-0.28868,-0.9268590000000001,-0.126503,0.05692440000000001,0,0,3.30808,5,39.901,1
1774300228688,-0.00922255,1.03242,-0.285302,-0.918848,-0.13339600000000001,0.054378,0,0,3.28169,5,39.915,1
1774300228701,-0.00902208,1.02692,-0.284548,-0.915569,-0.14006000000000002,0.0599257,0,0,3.27286,5,39.928,1
1774300228714,-0.00707938,1.03546,-0.286069,-0.912366,-0.149246,0.0712083,0,0,3.27875,5,39.941,1
1774300228728,-0.00499741,1.04383,-0.28887,-0.9042610000000001,-0.162048,0.0826845,0,0,3.27286,5,39.955,1
1774300228741,-0.00268619,1.0548,-0.292722,-0.890521,-0.17761800000000003,0.09474579999999999,0,0,3.38795,5,39.968,1
1774300228755,-0.00186405,1.06111,-0.297494,-0.871891,-0.19379100000000002,0.10798500000000001,0,0,3.28201,5,39.982,1
1774300228768,-0.00244449,1.06593,-0.303489,-0.852872,-0.208175,0.11983,0,0,3.31663,5,39.995,1
1774300228782,-0.00375762,1.06059,-0.312072,-0.839848,-0.21971900000000003,0.126374,0,0,3.30317,5,40.009,1
1774300228796,-0.00498128,1.05497,-0.321294,-0.837446,-0.226466,0.128273,0,0,4.1859,5,40.023,1
1774300228809,-0.00614076,1.04979,-0.331181,-0.8438880000000001,-0.227495,0.133075,0,0,3.28112,5,40.036,1
1774300228826,-0.00791149,1.05248,-0.342429,-0.85324,-0.221692,0.144061,0,0,3.4452,5,40.053,1
1774300228840,-0.00934854,1.06148,-0.356591,-0.854882,-0.21144500000000002,0.153369,0,0,3.319,5,40.067,1
1774300228853,-0.0119719,1.06971,-0.372942,-0.846267,-0.19680499999999998,0.15759499999999999,0,0,3.28414,5,40.08,1
