timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista
1777240189055,0.133388,1.29686,-0.211241,-1.51761,0.0624152,-0.0713537,3.4564,4
1777240189068,0.170536,1.36394,-0.294486,-1.53407,0.0619072,-0.0483698,3.4437,4
1777240189082,0.191988,1.41256,-0.392152,-1.50984,0.042382,-0.00118089,3.68308,4
1777240189095,0.171003,1.44358,-0.495446,-1.44462,0.0177475,0.0462684,3.44308,4
1777240189109,0.114699,1.45256,-0.589645,-1.34786,0.00782005,0.0624834,3.37518,5
1777240189122,0.0618413,1.45491,-0.664784,-1.22836,0.0209892,0.0356766,3.46034,5
1777240189136,0.0549489,1.5685,-0.493152,-1.11285,0.0382966,-0.00769593,3.5962,5
1777240189150,0.0908547,1.4893,-0.241127,-0.916649,0.0408286,0.00155639,3.5349,5
1777240189163,0.0837728,1.50229,-0.195009,-0.724928,0.0392577,-0.0224494,3.44264,5
1777240189177,0.0555193,1.45071,-0.183358,-0.543961,0.0286547,-0.0440981,3.86573,5
1777240189191,0.0560478,1.4079,-0.178003,-0.381585,0.0198795,-0.0421512,3.47849,5
1777240189204,0.0698303,1.36833,-0.170634,-0.253652,-0.00226809,-0.0539984,3.3481,5
1777240189218,0.046659,1.37124,-0.163104,-0.135628,-0.0151149,-0.0352507,3.45188,5
1777240189231,0.0408236,1.33987,-0.163472,-0.0382594,-0.0207241,-0.0215411,3.39308,5
1777240189245,0.0306868,1.30922,-0.168107,0.0320711,-0.0170054,-0.00984657,3.48534,5
1777240189259,0.0275412,1.28027,-0.17863,0.0765248,-0.00941891,-0.00131285,3.3891,5
1777240189272,0.0246817,1.25977,-0.178128,0.10862,-0.00109331,0.00950398,3.73597,1
1777240189286,0.025776,1.2442,-0.177599,0.131669,0.00667966,0.0203692,3.44725,1
1777240189299,0.0303968,1.22872,-0.179072,0.14863,0.01343,0.0244719,3.35705,1
1777240189313,0.0360867,1.21132,-0.181298,0.159686,0.0225378,0.0214165,3.4491,1
1777240189326,0.0405263,1.19745,-0.180358,0.164555,0.0293235,0.0136254,3.3936,1
1777240189340,0.0414028,1.18365,-0.177691,0.166303,0.0320034,0.00556052,3.46829,1
1777240189354,0.0400801,1.17315,-0.173928,0.165933,0.0340576,-0.00267283,3.43862,1
