Starting real-time gait reader (100Hz) WITH KALMAN.
Press any key to stop.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:0.186035 ay:0.946045 az:-0.482666 gx:0.29771 gy:-0.671756 gz:0.656489 | Class: -1 | Delay: 3.27458 ms
 R_K:115.553 P_K:-9.67228 | Dly: 3.27084msax:0.179932 ay:0.927979 az:-0.482422 gx:0.145038 gy:-0.679389 gz:0.625954 | Class: 5 | Delay: 3.27041 ms
 R_K:116.321 P_K:-9.73501 | Dly: 3.27041msax:0.174072 ay:0.930176 az:-0.482666 gx:0.0381679 gy:-0.885496 gz:0.641221 | Class: 1 | Delay: 3.27027 ms
 R_K:117.061 P_K:-9.78721 | Dly: 3.27027msax:0.18042 ay:0.922607 az:-0.479248 gx:-0.0381679 gy:-0.946565 gz:0.625954 | Class: 1 | Delay: 3.26193 ms
 R_K:117.777 P_K:-9.8522 | Dly: 3.26193msax:0.177002 ay:0.922363 az:-0.477295 gx:0.00763359 gy:-0.862595 gz:0.671756 | Class: 1 | Delay: 3.26969 ms
 R_K:118.465 P_K:-9.90801 | Dly: 3.26969msax:0.174316 ay:0.927246 az:-0.470947 gx:0.0534351 gy:-0.900763 gz:0.679389 | Class: 1 | Delay: 3.27188 ms
 R_K:119.116 P_K:-9.957 | Dly: 3.27188msax:0.180176 ay:0.925293 az:-0.488525 gx:-0.00763359 gy:-0.793893 gz:0.694656 | Class: 1 | Delay: 3.26938 ms
 R_K:119.773 P_K:-10.0114 | Dly: 3.26938msax:0.170654 ay:0.924805 az:-0.485596 gx:0.145038 gy:-0.877863 gz:0.725191 | Class: 1 | Delay: 3.26834 ms
 R_K:120.404 P_K:-10.0481 | Dly: 3.26834msax:0.178955 ay:0.925781 az:-0.479004 gx:-0.0229008 gy:-0.824427 gz:0.687023 | Class: 1 | Delay: 3.26782 ms
 R_K:120.998 P_K:-10.0983 | Dly: 3.26782msax:0.174316 ay:0.924072 az:-0.475342 gx:0.129771 gy:-0.801527 gz:0.641221 | Class: 1 | Delay: 3.26812 ms
 R_K:121.567 P_K:-10.1387 | Dly: 3.26812msax:0.177002 ay:0.92334 az:-0.477783 gx:-0.0381679 gy:-0.824427 gz:0.839695 | Class: 1 | Delay: 3.26753 ms
 R_K:122.117 P_K:-10.1826 | Dly: 3.26753msax:0.177002 ay:0.930176 az:-0.480713 gx:-0.00763359 gy:-0.755725 gz:0.70229 | Class: 1 | Delay: 3.27147 ms
 R_K:122.644 P_K:-10.2214 | Dly: 3.27147msax:0.17749 ay:0.926025 az:-0.484131 gx:-0.0152672 gy:-0.931298 gz:0.641221 | Class: 1 | Delay: 3.26927 ms
 R_K:123.16 P_K:-10.2624 | Dly: 3.26927msax:0.171875 ay:0.925049 az:-0.479492 gx:0.206107 gy:-0.854962 gz:0.427481 | Class: 1 | Delay: 3.2681 ms
 R_K:123.651 P_K:-10.2912 | Dly: 3.2681msax:0.173584 ay:0.925293 az:-0.478271 gx:0.10687 gy:-0.877863 gz:0.519084 | Class: 1 | Delay: 3.26819 ms
 R_K:124.118 P_K:-10.322 | Dly: 3.26819msax:0.177979 ay:0.930176 az:-0.481201 gx:0.137405 gy:-0.732824 gz:0.618321 | Class: 1 | Delay: 3.27123 ms
 R_K:124.566 P_K:-10.3559 | Dly: 3.27123msax:0.173096 ay:0.929443 az:-0.481201 gx:-0.0534351 gy:-0.870229 gz:0.717557 | Class: 1 | Delay: 3.2698 ms
 R_K:124.993 P_K:-10.3812 | Dly: 3.2698msax:0.17041 ay:0.92749 az:-0.480225 gx:0.122137 gy:-0.793893 gz:0.580153 | Class: 1 | Delay: 3.27058 ms
 R_K:125.403 P_K:-10.3996 | Dly: 3.27058msax:0.177246 ay:0.92334 az:-0.474609 gx:0.19084 gy:-0.648855 gz:0.687023 | Class: 5 | Delay: 3.29543 ms
 R_K:125.79 P_K:-10.4298 | Dly: 3.29543msax:0.177734 ay:0.924561 az:-0.477539 gx:-0.122137 gy:-0.854962 gz:0.687023 | Class: 1 | Delay: 3.28021 ms
 R_K:126.16 P_K:-10.4615 | Dly: 3.28021msax:0.170166 ay:0.926758 az:-0.486084 gx:0.251908 gy:-0.938931 gz:0.580153 | Class: 1 | Delay: 3.27291 ms
 R_K:126.53 P_K:-10.4766 | Dly: 3.27291msax:0.169678 ay:0.924561 az:-0.480713 gx:0.0381679 gy:-1.01527 gz:0.465649 | Class: 1 | Delay: 3.27023 ms
 R_K:126.871 P_K:-10.4918 | Dly: 3.27023msax:0.176514 ay:0.92334 az:-0.477051 gx:0.0763359 gy:-1.0458 gz:0.59542 | Class: 1 | Delay: 3.27123 ms
 R_K:127.19 P_K:-10.5201 | Dly: 3.27123msax:0.179688 ay:0.924561 az:-0.486328 gx:-0.0610687 gy:-0.870229 gz:0.633588 | Class: 1 | Delay: 3.32358 ms
 R_K:127.506 P_K:-10.549 | Dly: 3.32358msax:0.178711 ay:0.920166 az:-0.471924 gx:0.0534351 gy:-0.519084 gz:0.603053 | Class: 1 | Delay: 3.28453 ms
 R_K:127.789 P_K:-10.5737 | Dly: 3.28453msax:0.171631 ay:0.922852 az:-0.477051 gx:0.0534351 gy:-0.793893 gz:0.59542 | Class: 1 | Delay: 3.27734 ms
