time,ax,ay,az,gx,gy,gz
1746730010.0796003,-4.53,-9.8,-7.52,2.02,-1.57,-2.28
1746730010.0796003,8.57,-10.01,-10.41,1.91,-2.34,-3.31
1746730010.0796003,8.74,-19.61,-7.17,2.19,-4.37,-3.04
1746730010.0880263,9.04,-12.52,9.8,4.37,-4.14,-1.35
1746730010.0977316,4.71,-19.61,8.1,1.79,-1.13,-0.77
1746730010.1076124,2.41,-19.61,5.62,-0.64,1.5,0.01
1746730010.1182046,-1.52,-13.56,-4.08,-3.19,2.29,-0.02
1746730010.126884,-6.48,-8.39,-14.63,-2.04,2.31,0.11
1746730010.1374202,2.68,0.92,-11.77,-2.38,1.31,-0.52
1746730010.1539447,-2.44,-5.37,-16.39,-1.23,0.79,-1.13
1746730010.1539447,-2.33,-7.0,-12.15,-0.19,0.32,-0.95
1746730010.161946,-4.34,-10.33,-12.77,0.36,-0.1,-0.39
1746730010.178724,-0.06,-11.03,-9.68,0.71,-0.38,-0.19
1746730010.1870492,-1.11,-11.56,-7.69,0.83,-0.34,0.12
1746730010.195532,-0.92,-10.56,-7.28,0.61,-0.0,0.2
1746730010.2061613,-1.9,-9.61,-8.63,0.0,0.07,0.0
1746730010.2134614,-1.83,-8.65,-9.63,-0.27,-0.09,-0.26
1746730010.2216094,-2.19,-8.83,-9.24,-0.41,-0.19,-0.39
1746730010.2384808,-2.05,-9.47,-9.49,-0.57,-0.38,-0.51
1746730010.2795317,-1.31,-9.47,-10.31,-0.66,-0.51,-0.73
1746730010.2795317,-0.94,-9.67,-9.21,-0.74,-0.63,-0.89
1746730010.2795317,-0.16,-10.86,-8.99,-0.69,-0.67,-0.79
1746730010.2795317,0.0,-11.13,-8.36,-0.27,-0.52,-0.42
1746730010.2878177,-1.1,-11.18,-9.07,-0.46,-1.06,-0.09
1746730010.296266,0.38,-6.53,-6.29,-0.0,0.42,-0.23
1746730010.3046865,-1.33,-9.17,-10.89,0.27,-0.05,-0.03
1746730010.313079,-0.06,-8.97,-9.92,0.59,-0.1,-0.0
1746730010.3212135,-0.81,-9.07,-10.01,0.75,-0.18,0.08
1746730010.337851,-0.48,-9.9,-9.55,0.76,-0.27,0.02
1746730010.370985,-0.29,-10.54,-8.2,0.58,-0.33,0.04
1746730010.370985,-0.95,-10.98,-8.21,0.41,-0.16,0.12
1746730010.370985,-0.62,-9.23,-9.45,0.02,-0.67,-0.06
1746730010.379218,-0.31,-8.51,-9.45,-0.7,-1.29,-0.09
1746730010.3876324,-0.26,-9.49,-8.84,-0.08,-0.54,-0.06
1746730010.3960757,-1.2,-9.07,-10.34,-0.37,-0.13,-0.18
1746730010.404528,-2.24,-10.9,-10.89,0.11,-0.29,0.05
1746730010.4129848,-0.57,-8.09,-10.75,0.36,-0.29,0.05
1746730010.421135,-2.54,-10.84,-10.63,0.76,-0.4,0.19
1746730010.4377568,-0.33,-8.99,-8.62,1.08,-0.38,-0.09
1746730010.487144,-1.94,-10.86,-8.9,0.96,-0.28,0.04
1746730010.495382,-0.72,-10.76,-9.17,0.88,-0.21,-0.06
1746730010.495382,-2.0,-9.65,-9.6,0.86,-0.06,-0.25
1746730010.495382,-1.14,-9.85,-9.77,1.04,-0.11,-0.28
1746730010.495382,-1.59,-9.2,-9.57,1.26,-0.15,-0.3
1746730010.495382,-1.41,-9.76,-9.42,1.39,-0.15,-0.41
1746730010.5057588,-1.32,-9.82,-9.08,1.42,0.01,-0.48
