t,mode,S,prom
19.81,3.0,3.0,1.170703262090683
19.82,3.0,3.0,1.5230166494846344
19.83,3.0,3.0,1.8544891715049745
19.84,3.0,3.0,2.071717977523804
19.85,3.0,3.0,2.1606405496597287
19.86,3.0,3.0,2.2694309234619134
19.87,3.0,3.0,2.378221297264099
19.88,3.0,3.0,2.551866626739502
19.89,3.0,3.0,2.6977633953094484
19.9,3.0,3.0,2.7851990938186644
19.91,3.0,3.0,2.839030885696411
19.92,3.0,3.0,2.8928626775741577
19.93,3.0,3.0,2.926387405395508
19.94,3.0,3.0,2.935972094535828
19.95,4.0,4.0,2.914181661605835
19.96,4.0,4.0,2.8651516675949096
19.97,4.0,4.0,2.8161216735839845
19.98,4.0,4.0,2.7532686948776246
19.99,4.0,4.0,2.682308483123779
20.0,4.0,4.0,2.6013564586639406
20.01,4.0,4.0,2.511775016784668
20.02,4.0,4.0,2.4221935749053958
20.03,4.0,4.0,2.330650877952576
20.04,4.0,4.0,2.2475361108779905
20.05,4.0,4.0,2.1841031074523927
20.06,4.0,4.0,2.1426286220550534
20.07,4.0,4.0,2.1011541366577147
20.08,4.0,4.0,2.07447681427002
20.09,4.0,4.0,2.057866859436035
20.1,4.0,4.0,2.0529427528381348
20.11,4.0,4.0,2.056059384346008
20.12,4.0,4.0,2.0634047269821165
20.13,4.0,4.0,2.0763083457946774
20.14,4.0,4.0,2.0853563785552978
20.15,4.0,4.0,2.0862970352172847
20.16,4.0,4.0,2.085899829864502
20.17,4.0,4.0,2.0790021657943725
20.18,4.0,4.0,2.0623122215271
20.19,4.0,4.0,2.0256181120872494
20.2,4.0,4.0,1.9568160295486448
20.21,4.0,4.0,1.8592324495315553
20.22,4.0,4.0,1.7574201583862306
20.23,4.0,4.0,1.6296066403388978
20.24,4.0,4.0,1.4805393159389495
20.25,4.0,4.0,1.3127217203378678
20.26,4.0,4.0,1.1241883218288422
20.27,4.0,4.0,0.9421553820371629
20.28,4.0,4.0,0.7517272099852561
20.29,4.0,4.0,0.5538615331053732
20.3,4.0,4.0,0.3535113081336021
20.31,4.0,4.0,0.18300716727972033
20.32,4.0,4.0,0.012503026425838473
20.33,5.0,5.0,-0.1020723894238472
20.34,5.0,5.0,-0.17260294109582902
20.35,5.0,5.0,-0.21138267107307912
20.36,5.0,5.0,-0.2382303770631552
20.37,5.0,5.0,-0.2650780830532312
20.38,5.0,5.0,-0.3003979314118624
20.39,5.0,5.0,-0.324457823112607
20.4,5.0,5.0,-0.31822585947811605
20.41,5.0,5.0,-0.320682417228818
20.42,5.0,5.0,-0.3231389749795198
20.43,5.0,5.0,-0.3701597858220339
20.44,5.0,5.0,-0.4417280126363039
20.45,5.0,5.0,-0.5132041111588478
20.46,5.0,5.0,-0.575896430760622
20.47,5.0,5.0,-0.6338270902633667
20.48,5.0,5.0,-0.6671241998672486
20.49,5.0,5.0,-0.694953554868698
20.5,5.0,5.0,-0.7526773869991302
20.51,5.0,5.0,-0.8395510256290435
20.52,5.0,5.0,-0.9264246642589568
20.53,5.0,5.0,-1.002624899148941
20.54,5.0,5.0,-1.0540831625461575
20.55,5.0,5.0,-1.1095900535583496
20.56,5.0,5.0,-1.169440883398056
20.57,5.0,5.0,-1.234053373336792
20.58,5.0,5.0,-1.283148330450058
20.59,5.0,5.0,-1.2955962717533112
20.6,5.0,5.0,-1.2519840002059937
20.61,5.0,5.0,-1.15662339925766
20.62,5.0,5.0,-1.061262798309326
20.63,5.0,5.0,-0.9570516407489776
20.64,5.0,5.0,-0.8708818972110749
20.65,5.0,5.0,-0.7914967924356461
20.66,5.0,5.0,-0.709802708029747
20.67,5.0,5.0,-0.628108623623848
20.68,5.0,5.0,-0.5575943440198897
20.69,5.0,5.0,-0.5106324970722198
20.7,5.0,5.0,-0.4855661451816559
20.71,5.0,5.0,-0.4754743814468384
20.72,5.0,5.0,-0.46824448704719546
20.73,5.0,5.0,-0.4797644853591919
20.74,5.0,5.0,-0.5031584978103638
20.75,5.0,5.0,-0.5247755616903305
20.76,5.0,5.0,-0.5443576663732529
20.77,5.0,5.0,-0.5630523055791855
20.78,5.0,5.0,-0.5833732396364212
20.79,5.0,5.0,-0.6047955513000488
20.8,5.0,5.0,-0.6261091947555542
20.81,5.0,5.0,-0.6474228382110596
20.82,5.0,5.0,-0.6629323959350586
20.83,5.0,5.0,-0.6640452802181244
20.84,5.0,10.0,-0.655657434463501
20.85,5.0,10.0,-0.6492140471935273
20.86,5.0,10.0,-0.6427706599235534
20.87,5.0,10.0,-0.6421165883541107
20.88,1.0,1.0,-0.6476179122924804
20.89,1.0,1.0,-0.6608928740024567
20.9,1.0,1.0,-0.6828763365745545
20.91,1.0,1.0,-0.7048597991466522
20.92,1.0,1.0,-0.7318613588809968
20.93,1.0,1.0,-0.7586817264556883
20.94,1.0,1.0,-0.780344671010971
20.95,1.0,1.0,-0.7917230367660522
20.96,1.0,1.0,-0.8031014025211335
