time,ax,ay,az,gx,gy,gz
1746729742.079446,-0.99,-9.77,-8.32,0.24,-0.13,-0.2
1746729742.1044066,-0.25,-10.35,-9.26,0.25,-0.08,-0.17
1746729742.1044066,-0.83,-9.58,-9.36,0.32,0.04,-0.21
1746729742.1044066,-0.35,-9.31,-8.79,0.48,0.0,-0.21
1746729742.1206486,-0.62,-10.01,-9.36,0.55,-0.03,-0.04
1746729742.1289558,-0.53,-10.01,-8.91,0.55,-0.08,0.01
1746729742.1374004,0.15,-10.03,-9.12,0.45,-0.14,0.02
1746729742.1456785,-0.02,-9.58,-9.07,0.46,-0.08,0.01
1746729742.159664,0.86,-9.96,-10.21,0.49,-0.02,0.02
1746729742.1696653,0.38,-10.15,-9.64,0.61,-0.29,0.04
1746729742.1817791,-0.15,-10.34,-8.38,0.67,-0.11,0.0
1746729742.2066972,-0.08,-10.42,-9.85,0.71,-0.11,0.03
1746729742.2149537,-0.54,-10.95,-9.25,0.81,-0.22,-0.07
1746729742.2149537,-0.59,-10.42,-9.44,0.84,-0.19,-0.21
1746729742.2149537,-0.52,-10.72,-9.78,1.02,-0.09,-0.32
1746729742.227318,-0.51,-10.96,-9.47,1.21,-0.23,-0.36
1746729742.2418966,-0.53,-10.76,-10.02,1.31,-0.24,-0.43
1746729742.2499948,-0.45,-10.99,-10.1,1.5,-0.28,-0.46
1746729742.258539,-0.6,-11.09,-10.26,1.75,-0.3,-0.46
1746729742.2670255,-0.37,-11.62,-10.67,2.0,-0.33,-0.49
1746729742.2755175,-1.01,-11.72,-11.13,2.28,-0.4,-0.51
1746729742.3085883,-1.01,-11.84,-11.36,2.65,-0.46,-0.6
1746729742.3167136,-3.03,-13.36,-12.38,3.0,-0.37,-0.97
1746729742.3169363,-0.57,-11.43,-12.06,3.43,-0.57,-0.87
1746729742.3169363,-1.1,-12.25,-11.29,3.83,-0.72,-0.96
1746729742.3272645,0.37,-12.02,-11.9,4.33,-0.75,-1.0
1746729742.342138,-0.95,-11.29,-10.37,4.37,-1.1,-0.6
1746729742.35081,-0.59,-11.04,-6.73,4.37,-1.48,-0.29
1746729742.3588705,0.88,-13.99,-1.42,4.37,-1.68,-0.43
1746729742.366965,1.26,-16.99,2.86,4.37,-1.18,-0.72
1746729742.3825538,-3.05,-15.01,4.55,4.07,0.03,-1.62
1746729742.4157922,-3.6,-12.88,-3.36,3.23,0.92,-2.61
1746729742.4157922,-3.0,-12.41,-5.83,2.73,0.88,-3.06
1746729742.4157922,4.29,-15.42,-10.6,1.83,-0.42,-2.1
1746729742.4157922,5.65,-16.46,-12.7,0.9,0.16,-1.47
1746729742.4242184,2.21,-14.07,-17.19,0.03,-0.31,-0.87
1746729742.4414248,-0.34,-6.63,-16.24,-0.83,-0.78,-0.11
1746729742.4520857,-8.2,-7.78,-14.36,-0.58,-0.99,0.33
1746729742.4618986,-9.6,-6.23,-13.87,-1.06,-0.93,0.11
