t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
55.592,0.6081678867340088,-0.009692717343568802,-2.3874995708465576,0.9074711799621582,0.09701749682426451,0.0,0.0,0.0519648902118206,0.0,0.0
55.606,0.5847761631011963,-0.01675497367978096,-1.055928349494934,0.8608502149581909,0.11883260309696198,0.0,0.0,0.04728377237915993,0.0,0.0
55.619,0.5627385377883911,-0.005415109917521477,2.3533644676208496,0.8562981486320494,0.13306738436222076,0.0,0.0,0.049387574195861816,0.0,0.0
55.632,0.5764677524566649,-0.03272204101085663,0.5947454571723938,0.8569464683532714,0.16986168920993805,0.0,0.0,0.04645709693431854,0.0,0.0
55.646,0.5901855826377869,-0.043170616030693054,0.07502473890781401,0.9093908071517944,0.1820058822631836,0.0,0.0,0.03682956099510193,0.0,0.0
55.659,0.5840966701507568,-0.03362080454826355,-0.922536551952362,0.9159327745437622,0.17158132791519165,0.0,0.0,0.03345639631152153,0.0,0.0
55.672,0.6106696128845215,-0.016787953674793243,-1.4994933605194092,0.9602434635162352,0.1441197246313095,0.0,0.0,0.03413383662700653,0.0,0.0
55.686,0.5833693742752075,0.0013046283274888992,-0.9497140049934387,0.9627549052238464,0.12581104040145874,0.0,0.0,0.03465115278959274,0.0,0.0
55.7,0.6094006299972534,0.018813449889421463,-0.04130685701966286,0.9632017612457277,0.10328853130340576,0.0,0.0,0.03383312374353409,0.0,0.0
55.713,0.583922266960144,0.030627809464931488,0.8419243097305299,0.9327237010002136,0.08544773608446121,0.0,0.0,0.016315706074237823,0.0,0.0
55.726,0.6093481183052063,0.033773548901081085,-0.005303230136632919,0.974340081214905,0.08611758053302766,0.0,0.0,0.016315706074237823,0.0,0.0
55.74,0.5803242921829224,0.031400322914123535,-0.2630920112133026,0.9467623829841613,0.07670695334672928,0.0,0.0,0.012276923283934591,0.0,0.0
55.753,0.5796142220497131,0.03824082762002945,0.07462771236896515,0.942619264125824,0.04734913259744644,0.0,0.0,0.0071371495723724365,0.0,0.0
55.768,0.5979067087173462,0.04804740473628044,0.5509236454963684,0.9760969877243042,0.028261791914701465,0.0,0.0,-0.0014701427426189184,0.0,0.0
55.781,0.6101759672164917,0.05176419392228127,-0.014885421842336656,0.9723727107048034,0.029488153755664825,0.0,0.0,-0.0014701427426189184,0.0,0.0
55.794,0.6198582649230957,0.04781143367290497,0.08319178223609923,1.0044270753860474,-0.06756395101547241,0.0,0.0,-0.014508821070194244,0.0,0.0
55.808,0.6095173358917236,0.043721660971641534,0.08057942241430281,0.9598543643951416,-0.12733781337738037,0.0,0.0,-0.01947689801454544,0.0,0.0
55.821,0.6200048327445984,0.04481947422027588,-0.8419321179389954,0.9285464882850648,-0.17015400528907776,0.0,0.0,-0.026059364899992943,0.0,0.0
55.834,0.6091908812522888,0.0579184927046299,-1.7789373397827148,0.9520629644393922,-0.18958288431167605,0.0,0.0,-0.03467383235692978,0.0,0.0
55.847,0.6328338384628296,0.08404502272605896,-2.447967767715454,0.9333018064498899,-0.2091224044561386,0.0,0.0,-0.04378145933151245,0.0,0.0
55.861,0.6027799248695374,0.09266363084316252,-1.9239572286605835,0.9420289397239683,-0.22962601482868197,0.0,0.0,-0.051901184022426605,0.0,0.0
55.874,0.6000760197639465,0.08299154043197632,0.8853811621665953,0.8932537436485289,-0.24426423013210297,0.0,0.0,-0.06514045596122742,0.0,0.0
55.888,0.5665038228034973,0.08070555329322816,-0.3951745927333832,0.895907461643219,-0.2310511022806168,0.0,0.0,-0.07737824320793152,0.0,0.0
55.901,0.5960786938667297,0.08433381468057632,1.9456048011779783,0.888573408126831,-0.20940023660659793,0.0,0.0,-0.07916396111249924,0.0,0.0
55.914,0.6051467657089233,0.08083295077085495,-3.280836343765259,0.892435610294342,-0.20591798424720764,0.0,0.0,-0.09791839867830275,0.0,0.0
