t,mode,S,prom
2.591,5.0,5.0,-0.013179339142516256
2.601,5.0,5.0,-0.011561727244406938
2.611,5.0,5.0,-0.008424465684220195
2.621,5.0,5.0,-0.0036384906154125927
2.631,5.0,5.0,0.0011474844533950093
2.641,5.0,5.0,0.005989730963483453
2.651,5.0,5.0,0.008972563827410341
2.661,5.0,5.0,0.009006853913888335
2.671,5.0,5.0,0.007975144661031662
2.681,5.0,5.0,0.006943435408174992
2.691,5.0,5.0,0.00818566489033401
2.701,5.0,5.0,0.0118317361921072
2.711,5.0,5.0,0.01573310815729201
2.721,5.0,5.0,0.018069675425067544
2.731,5.0,5.0,0.021283816779032353
2.741,5.0,5.0,0.024483158113434912
2.751,5.0,5.0,0.02940101181156933
2.761,5.0,5.0,0.03704742649570107
2.771,5.0,5.0,0.04512403174303472
2.781,5.0,5.0,0.053200636990368366
2.791,5.0,5.0,0.05890971347689629
2.801,5.0,5.0,0.06364108324050903
2.811,5.0,5.0,0.06959922462701798
2.821,5.0,5.0,0.07705991417169569
2.831,5.0,5.0,0.08364302963018418
2.841,5.0,5.0,0.0901152402162552
2.851,5.0,5.0,0.09592653810977936
2.861,5.0,5.0,0.10049428269267084
2.871,5.0,5.0,0.10509865581989287
2.881,5.0,5.0,0.10970302894711496
2.891,5.0,5.0,0.11472925320267675
2.901,5.0,5.0,0.11826211139559746
2.911,5.0,5.0,0.11923985481262207
2.921,5.0,5.0,0.11774132624268532
2.931,5.0,5.0,0.11624279767274856
2.941,5.0,5.0,0.1126986376941204
2.951,5.0,5.0,0.108246810734272
2.961,5.0,5.0,0.10376936122775078
2.971,5.0,5.0,0.09798537269234656
2.981,5.0,5.0,0.09220138415694237
2.991,5.0,5.0,0.08473114892840386
3.001,5.0,5.0,0.07736047320067882
3.011,5.0,5.0,0.06945724338293076
3.021,5.0,5.0,0.060453549958765514
3.031,5.0,5.0,0.051449856534600255
3.041,5.0,5.0,0.042480810335837296
3.051,5.0,5.0,0.03396836463361978
3.061,5.0,5.0,0.026392108551226555
3.071,5.0,5.0,0.020570080424658955
3.081,5.0,5.0,0.014748052298091351
3.091,5.0,5.0,0.011315599293448032
3.101,5.0,5.0,0.009224551194347442
3.111,5.0,5.0,0.007617903896607459
3.121,5.0,5.0,0.006962975417263806
3.131,5.0,5.0,0.005529035348445177
3.141,5.0,5.0,0.005767752055544406
3.151,5.0,5.0,0.0069965042057447135
3.161,5.0,5.0,0.008862992201466113
3.171,5.0,5.0,0.010615501285064966
3.181,5.0,5.0,0.013231317710597068
3.191,5.0,5.0,0.014844287524465472
3.201,5.0,5.0,0.013686824881006032
3.211,5.0,5.0,0.011248642869759353
3.221,5.0,5.0,0.009932929475326093
3.231,5.0,5.0,0.008532162697520107
3.241,5.0,5.0,0.006589041510596872
3.251,5.0,5.0,0.005005931807681918
3.261,5.0,5.0,0.0021360517013818024
3.271,5.0,5.0,0.00042798328213393687
3.281,5.0,5.0,-0.0027185257989913226
3.291,5.0,5.0,-0.0054898645728826525
3.301,5.0,5.0,-0.00639052027836442
3.311,5.0,5.0,-0.006028106110170484
3.321,5.0,5.0,-0.00587232755497098
3.331,5.0,5.0,-0.00503524262458086
3.341,5.0,5.0,-0.004342410527169704
3.351,5.0,5.0,-0.0057927130721509455
3.361,5.0,5.0,-0.007243015617132186
3.371,5.0,5.0,-0.009966462198644877
3.381,5.0,5.0,-0.010697937849909068
3.391,5.0,5.0,-0.009228609455749392
3.401,5.0,5.0,-0.007232319191098211
3.411,5.0,5.0,-0.005236028926447034
3.421,5.0,5.0,-0.003292751032859087
3.431,5.0,5.0,-0.0020581258926540614
3.441,5.0,5.0,-0.001399079617112875
3.451,5.0,5.0,-0.0005987560376524924
3.461,5.0,5.0,-0.00042618531733751297
3.471,5.0,5.0,-0.00014228224754333496
3.481,5.0,5.0,-0.0017101526260375976
3.491,5.0,5.0,-0.005573922954499722
3.501,5.0,5.0,-0.010629351250827312
3.511,5.0,5.0,-0.015944945998489855
3.521,5.0,5.0,-0.02100089276209473
3.531,5.0,5.0,-0.025165428174659606
3.541,5.0,5.0,-0.028037094976753
3.551,5.0,5.0,-0.02955043129622936
3.561,5.0,5.0,-0.029905963130295275
3.571,5.0,5.0,-0.03026149496436119
3.581,5.0,5.0,-0.029733542166650296
3.591,5.0,5.0,-0.028967732191085817
3.601,5.0,5.0,-0.028302797488868235
3.611,5.0,5.0,-0.027661207877099515
3.621,5.0,5.0,-0.02701961826533079
3.631,5.0,5.0,-0.02646967377513647
3.641,5.0,5.0,-0.025925039313733578
3.651,5.0,5.0,-0.025385956838727
3.661,5.0,5.0,-0.02451344989240169
3.671,5.0,5.0,-0.023640942946076392
3.681,5.0,5.0,-0.022138631111010908
3.691,5.0,5.0,-0.019489260157570243
3.701,5.0,5.0,-0.016061650635674597
3.711,5.0,5.0,-0.012770522944629192
3.721,5.0,5.0,-0.00947939525358379
3.731,5.0,5.0,-0.006278561288490891
3.741,5.0,5.0,-0.00291586946696043
3.751,5.0,5.0,0.0003317002207040787
3.761,5.0,5.0,0.003073204681277275
3.771,5.0,5.0,0.005814709141850472
3.781,5.0,5.0,0.007715747086331248
3.791,5.0,5.0,0.008645704528316856
3.801,5.0,5.0,0.0092466298956424
3.811,5.0,5.0,0.0103259339928627
3.821,5.0,5.0,0.011405238090083003
3.831,5.0,5.0,0.012618269259110092
3.841,5.0,5.0,0.01323334574699402
3.851,5.0,5.0,0.013265214674174786
3.861,5.0,5.0,0.013099505845457316
3.871,5.0,5.0,0.012933797016739846
3.881,5.0,5.0,0.013055697083473206
3.891,5.0,5.0,0.013437437638640404
3.901,5.0,5.0,0.013090097904205322
3.911,5.0,5.0,0.011558702518232166
3.921,5.0,5.0,0.010027307132259012
3.931,5.0,5.0,0.007868186524137854
3.941,5.0,5.0,0.005448221927508712
3.951,5.0,5.0,0.003119633020833135
3.961,5.0,5.0,0.0010754875373095274
3.971,5.0,5.0,-0.00096865794621408
3.981,5.0,5.0,-0.0033494372852146625
3.991,5.0,5.0,-0.006265028659254312
4.001,5.0,5.0,-0.00834091855213046
4.011,5.0,5.0,-0.010894238227047026
4.021,5.0,5.0,-0.013533505937084555
4.031,5.0,5.0,-0.015496836649253965
4.041,5.0,5.0,-0.016237024636939167
4.051,5.0,5.0,-0.01614426295273006
4.061,5.0,5.0,-0.01605292917229235
4.071,5.0,5.0,-0.015870111482217907
4.081,5.0,5.0,-0.015876155998557805
4.091,5.0,5.0,-0.01562802093103528
4.101,5.0,5.0,-0.01554871080443263
4.111,5.0,5.0,-0.013866300601512194
4.121,5.0,5.0,-0.012074624840170144
4.131,5.0,5.0,-0.009795032301917674
4.141,5.0,5.0,-0.007799101312411951
4.151,5.0,5.0,-0.006567078724037856
4.161,5.0,5.0,-0.005752816780295688
4.171,5.0,5.0,-0.005202888867643196
4.181,5.0,5.0,-0.004652960954990704
4.191,5.0,5.0,-0.004232460430648644
4.201,5.0,5.0,-0.0035784454856184317
4.211,5.0,5.0,-0.002653262707463
4.221,5.0,5.0,-0.001878625877725426
4.231,5.0,5.0,-0.0015919058248982764
4.241,5.0,5.0,-0.001982235904142726
4.251,5.0,5.0,-0.002109593457134906
4.261,5.0,5.0,-0.001810213114367798
4.271,5.0,5.0,-0.0007404866919387133
4.281,5.0,5.0,0.0003292397304903716
4.291,5.0,5.0,0.0024349770217668267
4.301,5.0,5.0,0.004953906376613304
4.311,5.0,5.0,0.007091377698816359
4.321,5.0,5.0,0.008991048543248326
4.331,5.0,5.0,0.010890719387680292
4.341,5.0,5.0,0.01274517267011106
4.351,5.0,5.0,0.014272069465368986
4.361,5.0,5.0,0.015383186470717193
4.371,5.0,5.0,0.015831799432635307
4.381,5.0,5.0,0.016280412394553422
4.391,5.0,5.0,0.015649452246725558
4.401,5.0,5.0,0.014374881144613027
4.411,5.0,5.0,0.013334646727889777
4.421,5.0,5.0,0.012875970732420684
4.431,5.0,5.0,0.012417294736951587
4.441,5.0,5.0,0.012131766695529223
4.451,5.0,5.0,0.011383755085989832
4.461,5.0,5.0,0.010203234921209512
4.471,5.0,5.0,0.009049081860575825
4.481,5.0,5.0,0.007894928799942134
4.491,5.0,5.0,0.007224342925474048
4.501,5.0,5.0,0.006989235850051045
4.511,5.0,5.0,0.006627978244796396
4.521,5.0,5.0,0.00605812626890838
4.531,5.0,5.0,0.005488274293020368
4.541,5.0,5.0,0.005341527285054326
4.551,5.0,5.0,0.0058826543390750885
4.561,5.0,5.0,0.006616714945994318
4.571,5.0,5.0,0.007083994091954081
4.581,5.0,5.0,0.007626864686608313
4.591,5.0,5.0,0.007913786498829723
4.601,5.0,5.0,0.008261868404224515
4.611,5.0,5.0,0.00865569026209414
4.621,5.0,5.0,0.009184740716591476
4.631,5.0,5.0,0.009713791171088814
4.641,5.0,5.0,0.010125715518370272
4.651,5.0,5.0,0.01006244863383472
4.661,5.0,5.0,0.009477717312984168
4.671,5.0,5.0,0.008199913264252243
4.681,5.0,5.0,0.006158656137995422
4.691,5.0,5.0,0.0041173990117385996
4.701,5.0,5.0,0.0014664393151178957
4.711,5.0,5.0,-0.0013926654821261764
4.721,5.0,5.0,-0.003706847107969224
4.731,5.0,5.0,-0.004861403675749897
4.741,5.0,5.0,-0.006182728824205697
4.751,5.0,5.0,-0.0064523532288149
4.761,5.0,5.0,-0.005535436840727925
4.771,5.0,5.0,-0.003966771671548486
4.781,5.0,5.0,-0.0027799554402008647
4.791,5.0,5.0,-0.0015931392088532447
4.801,5.0,5.0,-0.0007632018532603979
4.811,5.0,5.0,0.0006770420121029019
4.821,5.0,5.0,0.0023831204744055867
4.831,5.0,5.0,0.002929573878645897
4.841,5.0,5.0,0.004171859263442457
4.851,5.0,5.0,0.004938619839958846
4.861,5.0,5.0,0.004910821258090436
4.871,5.0,5.0,0.004448298527859151
4.881,5.0,5.0,0.005055486364290119
4.891,5.0,5.0,0.004700236790813506
4.901,5.0,5.0,0.004401830187998712
4.911,5.0,5.0,0.004112733900547028
4.921,5.0,5.0,0.0033735073637217285
4.931,5.0,5.0,0.0026342808268964286
4.941,5.0,5.0,0.0005492283962666988
4.951,5.0,5.0,-0.0024833209812641145
4.961,5.0,5.0,-0.005396340973675251
4.971,5.0,5.0,-0.008051877096295356
4.981,5.0,5.0,-0.010707413218915465
4.991,5.0,5.0,-0.01308429790660739
5.001,5.0,5.0,-0.015574273746460676
5.011,5.0,5.0,-0.019188901782035823
5.021,5.0,5.0,-0.023558742413297296
5.031,5.0,5.0,-0.027928583044558763
5.041,5.0,5.0,-0.031123021896928553
5.051,5.0,5.0,-0.032578018680214885
5.061,5.0,5.0,-0.03293141089379788
5.071,5.0,5.0,-0.032604146562516687
5.081,5.0,5.0,-0.0322768822312355
5.091,5.0,5.0,-0.03169543668627739
5.101,5.0,5.0,-0.03059500083327293
5.111,5.0,5.0,-0.02843150626868009
5.121,5.0,5.0,-0.02549156304448843
5.131,5.0,5.0,-0.022551619820296763
5.141,5.0,5.0,-0.02029024753719568
5.151,5.0,5.0,-0.02016138955950737
5.161,5.0,5.0,-0.02190701924264431
5.171,5.0,5.0,-0.02393831741064787
5.181,5.0,5.0,-0.025969615578651427
5.191,5.0,5.0,-0.02701071761548519
5.201,5.0,5.0,-0.02734290864318609
5.211,5.0,5.0,-0.02827511727809906
5.221,5.0,5.0,-0.03027599789202213
5.231,5.0,5.0,-0.032276878505945204
5.241,5.0,5.0,-0.034094720706343645
5.251,5.0,5.0,-0.034582560695707795
5.261,5.0,5.0,-0.03429489675909281
5.271,5.0,5.0,-0.03401843439787626
5.281,5.0,5.0,-0.03374197203665972
5.291,5.0,5.0,-0.03393336962908507
5.301,5.0,5.0,-0.03444528765976429
5.311,5.0,5.0,-0.03389812558889389
5.321,5.0,5.0,-0.031866570562124254
5.331,5.0,5.0,-0.02983501553535461
5.341,5.0,5.0,-0.02720523504540324
5.351,5.0,5.0,-0.024020552751608196
5.361,5.0,5.0,-0.019768538675270973
5.371,5.0,5.0,-0.014842601655982435
5.381,5.0,5.0,-0.009916664636693894
5.391,5.0,5.0,-0.005176847404800356
5.401,5.0,5.0,-0.0012477261712774631
5.411,5.0,5.0,0.00132391668157652
5.421,5.0,5.0,0.002565596962813288
5.431,5.0,5.0,0.003807277244050056
5.441,5.0,5.0,0.0041005198960192505
5.451,5.0,5.0,0.003596606513019651
5.461,5.0,5.0,0.0024609685759060087
5.471,5.0,5.0,0.0010735639836639166
5.481,5.0,5.0,-0.0003138406085781753
5.491,5.0,5.0,-0.0015719325543614104
5.501,5.0,5.0,-0.0026403413881780574
5.511,5.0,5.0,-0.0037664426170522344
5.521,5.0,5.0,-0.005137316897162236
5.531,5.0,5.0,-0.006508191177272238
5.541,5.0,5.0,-0.007989786440157331
5.551,5.0,5.0,-0.009092145194881596
5.561,5.0,5.0,-0.009595837505185046
5.571,5.0,5.0,-0.009980684172478506
5.581,5.0,5.0,-0.010365530839771963
5.591,5.0,5.0,-0.010716983303427696
5.601,5.0,5.0,-0.010882897581905127
5.611,5.0,5.0,-0.011057393066585064
5.621,5.0,5.0,-0.010986305959522723
5.631,5.0,5.0,-0.010915218852460384
5.641,5.0,5.0,-0.010350640676915646
5.651,5.0,5.0,-0.009830288495868445
5.661,5.0,5.0,-0.009662101790308951
5.671,5.0,5.0,-0.00935597534989938
5.681,5.0,5.0,-0.00904984890948981
5.691,5.0,5.0,-0.008638144232099874
5.701,5.0,5.0,-0.008278334158239887
5.711,5.0,5.0,-0.007508218678412958
5.721,5.0,5.0,-0.006483122444478794
5.731,5.0,5.0,-0.005458026210544632
5.741,5.0,5.0,-0.00461541821132414
5.751,5.0,5.0,-0.0037637742410879583
5.761,5.0,5.0,-0.00279209419968538
5.771,5.0,5.0,-0.00212590706651099
5.781,5.0,5.0,-0.0014597199333366009
5.791,5.0,5.0,-0.0009602108271792531
5.801,5.0,5.0,-6.35355245321989e-05
5.811,5.0,5.0,0.0009989067446440458
5.821,5.0,5.0,0.0019230216741561888
5.831,5.0,5.0,0.002847136603668332
5.841,5.0,5.0,0.003566684375982732
5.851,5.0,5.0,0.0038681191173964174
5.861,5.0,5.0,0.003982669209653978
5.871,5.0,5.0,0.004348928249964956
5.881,5.0,5.0,0.004715187290275935
5.891,5.0,5.0,0.00527052264806116
5.901,5.0,5.0,0.0056926422301330605
5.911,5.0,5.0,0.005793726585397963
5.921,5.0,5.0,0.005526026409643237
5.931,5.0,5.0,0.004670972960593645
5.941,5.0,5.0,0.004140541645756457
5.951,5.0,5.0,0.0035507136490195994
5.961,5.0,5.0,0.002738504414446652
5.971,5.0,5.0,0.0015944711631163957
5.981,5.0,5.0,0.0005947958910837769
5.991,5.0,5.0,-0.0006021743873134255
6.001,5.0,5.0,-0.0018680835608392956
6.011,5.0,5.0,-0.003311448078602552
6.021,5.0,5.0,-0.004704648512415588
6.031,5.0,5.0,-0.005799823231063784
6.041,5.0,5.0,-0.006894997949711977
6.051,5.0,5.0,-0.007668742560781538
6.061,5.0,5.0,-0.008215161901898681
6.071,5.0,5.0,-0.008814464672468601
6.081,5.0,5.0,-0.00955812542233616
6.091,5.0,5.0,-0.010350272222422064
6.101,5.0,5.0,-0.010873522097244858
6.111,5.0,5.0,-0.010865814751014112
6.121,5.0,5.0,-0.010679605090990665
6.131,5.0,5.0,-0.010204067872837183
6.141,5.0,5.0,-0.010039834352210165
6.151,5.0,5.0,-0.010131461499258875
6.161,5.0,5.0,-0.01072825356386602
6.171,5.0,5.0,-0.01138811712153256
6.181,5.0,5.0,-0.0120479806791991
6.191,5.0,5.0,-0.012328993109986188
6.201,5.0,5.0,-0.012333460105583073
6.211,5.0,5.0,-0.012090771924704312
6.221,5.0,5.0,-0.011306647025048732
6.231,5.0,5.0,-0.010522522125393152
6.241,5.0,5.0,-0.009384335321374237
6.251,5.0,5.0,-0.008392942207865416
6.261,5.0,5.0,-0.007289776275865733
6.271,5.0,5.0,-0.00593237488064915
6.281,5.0,5.0,-0.004574973485432565
6.291,5.0,5.0,-0.003635562513954938
6.301,5.0,5.0,-0.0033228741725906726
6.311,5.0,5.0,-0.003098585526458919
6.321,5.0,5.0,-0.0028942154720425608
6.331,5.0,5.0,-0.002689845417626202
6.341,5.0,5.0,-0.0024772633623797446
6.351,5.0,5.0,-0.0018150406482163816
6.361,5.0,5.0,-0.0010849495243746786
6.371,5.0,5.0,-0.0004097904835361988
6.381,5.0,5.0,0.00026536855730228124
6.391,5.0,5.0,0.001552538824034855
