time,ax,ay,az,gx,gy,gz
1746730181.0200706,0.22,-2.15,1.95,0.53,-0.14,-2.23
1746730181.0283356,1.31,-0.3,0.92,0.5,-0.39,-2.88
1746730181.0611475,3.51,1.42,-0.57,1.27,-0.87,-3.46
1746730181.0611475,11.88,-17.86,-14.04,1.14,-1.68,-3.12
1746730181.0611475,3.95,-19.61,-9.75,3.28,-1.5,-1.36
1746730181.0696125,-6.21,-13.48,-2.51,3.76,-0.14,-0.47
1746730181.078052,-4.33,-10.47,-4.14,2.35,-0.19,-0.7
1746730181.0863576,-1.19,-11.25,-5.1,1.75,-0.69,-0.97
1746730181.1030905,-1.35,-13.55,-3.45,2.4,-0.61,-0.71
1746730181.1110952,-2.68,-11.52,-2.44,1.92,-0.74,-0.72
1746730181.1196864,-1.5,-12.16,-4.03,0.58,-0.76,-0.93
1746730181.1281724,-0.01,-10.57,-6.56,0.4,-0.56,-0.79
1746730181.1695614,-0.85,-8.36,-8.96,1.23,-0.51,-0.62
1746730181.1695614,-1.11,-9.07,-7.01,1.8,-0.73,-0.74
1746730181.1695614,-1.05,-11.68,-4.54,1.33,-0.78,-0.79
1746730181.1777577,-1.58,-11.25,-5.04,0.08,-0.44,-0.75
1746730181.1777577,-0.24,-9.45,-8.79,0.15,-0.43,-0.81
1746730181.186253,1.56,-11.17,-7.31,0.75,-0.65,-0.78
1746730181.2020388,1.9,-12.5,-5.62,0.3,-0.53,-0.58
1746730181.21233,0.94,-11.28,-6.08,-0.04,-0.22,-0.28
1746730181.2228613,0.9,-10.15,-8.25,0.02,-0.18,-0.22
1746730181.2300909,0.86,-10.24,-8.22,0.3,-0.24,-0.14
1746730181.2596033,-0.14,-10.15,-7.48,0.37,-0.21,-0.02
1746730181.2596033,-0.95,-9.72,-7.63,0.19,-0.18,0.0
1746730181.2596033,-1.37,-9.12,-7.87,0.14,-0.2,-0.07
1746730181.2679977,-1.59,-9.12,-8.0,0.18,-0.22,-0.1
1746730181.276456,-1.24,-8.89,-7.8,0.23,-0.26,-0.17
1746730181.2932966,-0.93,-9.48,-7.59,0.22,-0.28,-0.2
1746730181.3010674,-0.83,-9.61,-7.35,0.12,-0.27,-0.2
